UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
9858,M24717,M,298.6,309.5,1366,55,65,0,No Failure
9859,L57038,L,298.5,309.5,1547,33.1,68,0,No Failure
9860,M24719,M,298.6,309.5,1580,33.9,70,0,No Failure
9861,H39274,H,298.7,309.6,1755,26.9,73,0,No Failure
9862,M24721,M,298.7,309.6,1800,24.8,78,0,No Failure
9863,M24722,M,298.8,309.7,1439,45.8,81,0,No Failure
9864,L57043,L,298.9,309.8,1411,56.3,84,0,No Failure
9865,M24724,M,298.9,309.9,1645,31.4,86,0,No Failure
9866,M24725,M,298.9,309.8,2450,13.9,89,0,No Failure
9867,L57046,L,299,309.9,1630,34,92,0,No Failure
9868,L57047,L,299,309.9,1411,44.7,94,0,No Failure
9869,L57048,L,298.9,309.9,1526,35.4,96,0,No Failure
9870,L57049,L,298.9,309.9,1590,31.3,98,0,No Failure
9871,H39284,H,299,309.9,1884,25.6,100,0,No Failure
9872,M24731,M,298.9,309.8,1947,21.7,105,0,No Failure
9873,L57052,L,298.9,309.9,1373,52.1,108,0,No Failure
9874,L57053,L,298.9,309.8,1616,36.5,110,0,No Failure
9875,M24734,M,298.9,309.9,1449,44.1,112,0,No Failure
9876,M24735,M,298.9,309.8,1363,50.6,115,0,No Failure
9877,H39290,H,298.8,309.7,1461,55.1,118,0,No Failure
9878,L57057,L,298.8,309.7,1374,58.6,123,0,No Failure
9879,L57058,L,298.7,309.7,1293,59.1,125,0,No Failure
9880,M24739,M,298.8,309.8,1490,38.6,127,0,No Failure
9881,L57060,L,298.8,309.8,1753,27.5,130,0,No Failure
9882,L57061,L,298.8,309.8,1493,38.5,132,0,No Failure
9883,L57062,L,298.8,309.8,1895,22,134,0,No Failure
9884,H39297,H,298.7,309.6,1654,34.3,136,0,No Failure
9885,L57064,L,298.7,309.5,1673,30.8,141,0,No Failure
9886,L57065,L,298.8,309.6,1613,27.7,143,0,No Failure
9887,L57066,L,298.8,309.6,1903,22.3,145,0,No Failure
9888,L57067,L,298.8,309.5,1368,44.7,147,0,No Failure
9889,M24748,M,298.8,309.6,1575,34.4,149,0,No Failure
9890,H39303,H,298.8,309.6,1516,40.2,152,0,No Failure
9891,L57070,L,298.8,309.5,1645,32.8,157,0,No Failure
9892,L57071,L,298.8,309.5,1374,48.1,159,0,No Failure
9893,H39306,H,298.9,309.7,1407,48.6,161,0,No Failure
9894,M24753,M,298.9,309.6,1284,55.3,166,0,No Failure
9895,L57074,L,298.9,309.5,1645,31.1,169,0,No Failure
9896,L57075,L,298.8,309.4,1387,54.1,171,0,No Failure
9897,M24756,M,298.8,309.3,1618,35.1,173,0,No Failure
9898,L57077,L,298.8,309.3,1357,47.1,176,0,No Failure
9899,L57078,L,298.7,309.2,1396,44.8,178,0,No Failure
9900,L57079,L,298.7,309.2,1586,31.4,180,0,No Failure
9901,H39314,H,298.7,309.2,1449,42.3,182,0,No Failure
9902,M24761,M,298.7,309.2,1423,48.9,187,0,No Failure
9903,H39316,H,298.7,309.3,1402,45.3,190,0,No Failure
9904,M24763,M,298.7,309.2,1437,45.7,195,0,No Failure
9905,L57084,L,298.6,309.1,1537,35.7,198,0,No Failure
9906,M24765,M,298.7,309.1,1423,49.5,200,0,No Failure
9907,M24766,M,298.6,309.1,1587,37.3,203,0,No Failure
9908,M24767,M,298.6,309.1,1487,43.2,206,0,No Failure
9909,L57088,L,298.6,309,1456,47.7,0,0,No Failure
9910,L57089,L,298.7,309.1,1607,32.7,2,0,No Failure
9911,L57090,L,298.6,309,1469,46,4,0,No Failure
9912,M24771,M,298.6,309,1481,40.8,6,0,No Failure
9913,L57092,L,298.6,308.9,1327,58.8,9,0,No Failure
9914,L57093,L,298.5,308.8,1589,30.6,11,0,No Failure
9915,L57094,L,298.5,308.8,1670,29.6,13,0,No Failure
9916,M24775,M,298.5,308.7,1662,28.3,15,0,No Failure
9917,M24776,M,298.5,308.8,1553,34.9,18,0,No Failure
9918,M24777,M,298.5,308.8,1557,36,21,0,No Failure
9919,L57098,L,298.4,308.8,1352,56.7,24,0,No Failure
9920,L57099,L,298.5,308.8,1305,58.7,26,0,No Failure
9921,H39334,H,298.5,308.7,1450,43.9,28,0,No Failure
9922,M24781,M,298.5,308.7,1347,48.5,33,0,No Failure
9923,H39336,H,298.6,308.8,1566,39.1,36,0,No Failure
9924,M24783,M,298.5,308.7,1615,33.3,41,0,No Failure
9925,M24784,M,298.5,308.6,1384,54.4,44,0,No Failure
9926,M24785,M,298.5,308.7,1367,47.3,47,0,No Failure
9927,M24786,M,298.5,308.6,1897,20.2,50,0,No Failure
9928,L57107,L,298.5,308.6,1522,36.9,53,0,No Failure
9929,M24788,M,298.4,308.5,1576,27.4,55,0,No Failure
9930,H39343,H,298.4,308.4,1479,39.2,58,0,No Failure
9931,L57110,L,298.3,308.3,1452,45.5,63,0,No Failure
9932,L57111,L,298.3,308.3,1432,46.9,65,0,No Failure
9933,L57112,L,298.3,308.2,1663,28.4,67,0,No Failure
9934,L57113,L,298.3,308.3,1597,32.4,69,0,No Failure
9935,L57114,L,298.3,308.2,1472,44.3,71,0,No Failure
9936,L57115,L,298.4,308.3,1452,48.5,73,0,No Failure
9937,H39350,H,298.3,308.2,1534,33.2,75,0,No Failure
9938,L57117,L,298.3,308.1,1505,46.1,80,0,No Failure
9939,L57118,L,298.3,308.1,1528,33.9,82,0,No Failure
9940,H39353,H,298.3,308.1,2636,12.8,84,0,No Failure
9941,M24800,M,298.3,308.1,1722,28.6,89,0,No Failure
9942,L57121,L,298.4,308.1,1395,44,92,0,No Failure
9943,L57122,L,298.4,308.1,1375,50.8,94,0,No Failure
9944,M24803,M,298.3,308,1766,26,96,0,No Failure
9945,L57124,L,298.3,307.9,1399,47.8,99,0,No Failure
9946,L57125,L,298.3,308,1578,37.8,101,0,No Failure
9947,L57126,L,298.3,307.9,1502,42,103,0,No Failure
9948,M24807,M,298.2,307.9,1529,36.6,105,0,No Failure
9949,L57128,L,298.2,307.8,1804,25.1,108,0,No Failure
9950,M24809,M,298.2,307.8,1411,53.4,110,0,No Failure
9951,L57130,L,298.1,307.8,1413,54.1,113,0,No Failure
9952,L57131,L,298.2,307.8,1355,59.4,115,0,No Failure
9953,L57132,L,298.2,307.8,1429,46.9,117,0,No Failure
9954,L57133,L,298.1,307.8,1565,35.3,119,0,No Failure
9955,M24814,M,298.1,307.9,1446,42.8,121,0,No Failure
9956,M24815,M,298.2,307.9,1462,38.8,124,0,No Failure
9957,M24816,M,298.2,307.8,1578,34.5,127,0,No Failure
9958,L57137,L,298.1,307.8,1606,33,130,0,No Failure
9959,M24818,M,298.1,307.8,1525,35.9,132,0,No Failure
9960,L57139,L,298.1,307.8,1379,49.1,135,0,No Failure
9961,L57140,L,298.2,307.8,1575,35,137,0,No Failure
9962,L57141,L,298.2,307.9,1399,54.9,139,0,No Failure
9963,L57142,L,298.2,307.9,1429,49.4,141,0,No Failure
9964,L57143,L,298.3,307.9,1435,39.9,143,0,No Failure
9965,L57144,L,298.3,307.9,1766,26.5,145,0,No Failure
9966,L57145,L,298.3,307.9,1703,28.9,147,0,No Failure
9967,L57146,L,298.3,307.9,1507,41.2,149,0,No Failure
9968,M24827,M,298.3,307.9,1609,32.4,151,0,No Failure
9969,L57148,L,298.4,308,1605,32.4,154,0,No Failure
9970,L57149,L,298.4,308.1,1491,50,156,0,No Failure
9971,H39384,H,298.4,308.1,1891,24.7,158,0,No Failure
9972,H39385,H,298.5,308.2,1563,44.6,163,0,No Failure
9973,L57152,L,298.6,308.2,1390,51.4,168,0,No Failure
9974,L57153,L,298.5,308.2,1444,40.5,170,0,No Failure
9975,L57154,L,298.6,308.2,1361,68.2,172,1,Power Failure
9976,M24835,M,298.6,308.3,1589,34.1,174,0,No Failure
9977,L57156,L,298.6,308.2,1705,26.3,177,0,No Failure
9978,L57157,L,298.6,308.3,1422,40.4,179,0,No Failure
9979,H39392,H,298.6,308.3,1377,52.1,181,0,No Failure
9980,L57159,L,298.5,308.3,1334,49.8,186,0,No Failure
9981,L57160,L,298.6,308.4,1559,36.6,188,0,No Failure
9982,L57161,L,298.7,308.5,1353,47,190,0,No Failure
9983,M24842,M,298.7,308.4,1507,45.7,192,0,No Failure
9984,L57163,L,298.7,308.4,1694,28.7,195,0,No Failure
9985,H39398,H,298.7,308.4,1432,42.8,197,0,No Failure
9986,H39399,H,298.7,308.5,1572,35.6,202,0,No Failure
9987,M24846,M,298.8,308.6,1507,42.3,207,0,No Failure
9988,M24847,M,298.8,308.6,1500,37.1,210,0,No Failure
9989,L57168,L,298.9,308.6,1771,24.1,213,0,No Failure
9990,M24849,M,298.8,308.5,1577,33.2,0,0,No Failure
9991,L57170,L,298.8,308.5,1527,36.2,3,0,No Failure
9992,M24851,M,298.9,308.4,1827,26.1,5,0,No Failure
9993,L57172,L,298.8,308.4,1484,39.2,8,0,No Failure
9994,L57173,L,298.8,308.4,1401,47.3,10,0,No Failure
9995,L57174,L,298.8,308.3,1634,27.9,12,0,No Failure
9996,M24855,M,298.8,308.4,1604,29.5,14,0,No Failure
9997,H39410,H,298.9,308.4,1632,31.8,17,0,No Failure
9998,M24857,M,299,308.6,1645,33.4,22,0,No Failure
9999,H39412,H,299,308.7,1408,48.5,25,0,No Failure
10000,M24859,M,299,308.7,1500,40.2,30,0,No Failure
